X,Y,Z,sample,group
1626.7528,4990.4679,710,60,a
8145.5806,1315.1883,519,55,c
13815.5822,12609,541,50,d
15737.3562,14061,521,45,d
18309.8314,15806,636,40,d
19436.3479,16453,740,35,d
21076.8867,17473,765,30,a
23018.3551,18905,894,25,c
23685.2056,19362,920,15,d
25491.5708,792,920,10,b
