X,Y,Z,sample,group,exhumation,respected
1626.7528,4990.4679,710,60,a,0.0,0
8145.5806,1315.1883,519,55,c,17.02,0
13815.5822,12609.0,541,50,d,2973.94,0
15737.3562,14061.0,521,45,d,4390.0,0
18309.8314,15806.0,636,40,d,2991.025,0
19436.3479,16453.0,740,35,d,6042.94,0
21076.8867,17473.0,765,30,a,6041.96,0
23018.3551,18905.0,894,25,c,4545.0,0
23685.2056,19362.0,920,15,d,7871.94,0
25491.5708,792.0,920,10,b,7771.97,0
